# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = beta_3.data.R
# init = 2 (Default)
# random
#   seed = 1169982865
# output
#   file = beta_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 1.03797
# Diagonal elements of inverse mass matrix:
# 0.443186

-8.05083,0.894874,1.03797,2,3,0,0.462465
-7.80994,1,1.03797,1,1,0,0.415712
-8.47881,0.789085,1.03797,1,1,0,0.519034
-8.05192,0.90642,1.03797,2,3,0,0.219032
-8.24842,0.954526,1.03797,1,1,0,0.197484
-8.39465,0.968131,1.03797,1,1,0,0.184282
-7.87728,1,1.03797,1,1,0,0.24448
-8.48162,0.862444,1.03797,1,1,0,0.177248
-7.96362,1,1.03797,2,3,0,0.44766
-7.64539,1,1.03797,2,3,0,0.349818
-7.78387,0.970946,1.03797,2,3,0,0.26297
-8.42406,0.831996,1.03797,2,3,0,0.512793
-7.80111,1,1.03797,2,3,0,0.259138
-7.64671,0.991691,1.03797,2,3,0,0.351275
-8.15235,0.862542,1.03797,2,3,0,0.207353
-9.23273,0.797117,1.03797,1,1,0,0.131981
-9.53821,0.953096,1.03797,1,1,0,0.118589
-9.72047,0.973755,1.03797,1,1,0,0.111508
-7.87896,1,1.03797,2,3,0,0.431287
-7.82722,1,1.03797,2,3,0,0.419859
-7.64015,0.999498,1.03797,2,3,0,0.324801
-8.21709,0.859398,1.03797,2,3,0,0.200583
-10.1427,0.599581,1.03797,2,3,0,0.651255
-9.75116,1,1.03797,1,1,0,0.626636
-8.05469,1,1.03797,1,1,0,0.463083
-7.70022,1,1.03797,1,1,0,0.3823
-8.05523,0.884362,1.03797,1,1,0,0.463169
-8.75292,0.927324,1.03797,2,3,0,0.158223
-8.06259,1,1.03797,2,3,0,0.464338
-8.06259,0.896692,1.03797,1,1,0,0.464338
-7.9272,1,1.03797,1,1,0,0.440907
-7.71894,1,1.03797,2,3,0,0.280302
-7.63886,1,1.03797,2,3,0,0.3283
-8.69191,0.745578,1.03797,2,3,0,0.54149
-8.03279,1,1.03797,1,1,0,0.459539
-8.03279,0.460811,1.03797,1,1,0,0.459539
-7.64925,0.846567,1.03797,2,3,0,0.353791
-7.70743,0.980881,1.03797,1,1,0,0.38512
-7.64178,0.998015,1.03797,2,3,0,0.321844
-7.65077,0.984223,1.03797,2,3,0,0.311977
-8.00541,0.89038,1.03797,2,3,0,0.454969
-8.00541,0.407359,1.03797,1,1,0,0.454969
-7.7824,0.696249,1.03797,2,3,0,0.40866
-7.72631,1,1.03797,1,1,0,0.391897
-7.6498,0.995414,1.03797,2,3,0,0.312802
-7.7069,0.964953,1.03797,2,3,0,0.38492
-7.67818,0.920213,1.03797,2,3,0,0.372506
-8.27552,0.827528,1.03797,2,3,0,0.194887
-8.00225,1,1.03797,1,1,0,0.225471
-7.63883,0.990677,1.03797,2,3,0,0.338298
-7.64284,0.991332,1.03797,2,3,0,0.346574
-7.66791,0.991973,1.03797,2,3,0,0.300735
-7.6451,1,1.03797,1,1,0,0.317448
-7.63897,0.99849,1.03797,2,3,0,0.32791
-7.8622,0.943534,1.03797,2,3,0,0.247142
-7.69933,1,1.03797,2,3,0,0.286984
-7.64954,0.99488,1.03797,2,3,0,0.354055
-7.6772,0.990899,1.03797,1,1,0,0.372019
-7.72432,0.89863,1.03797,2,3,0,0.391217
-7.63823,0.988298,1.03797,2,3,0,0.331851
-8.56037,0.775395,1.03797,2,3,0,0.171312
-8.57571,0.913768,1.03797,2,3,0,0.170199
-7.97497,1,1.03797,2,3,0,0.22924
-8.02765,0.629545,1.03797,2,3,0,0.222115
-7.63875,0.99497,1.03797,2,3,0,0.328727
-8.62967,0.76218,1.03797,2,3,0,0.166385
-7.64757,0.986947,1.03797,2,3,0,0.314858
-7.91633,0.819561,1.03797,2,3,0,0.238013
-7.97205,0.985796,1.03797,1,1,0,0.229654
-8.38874,0.960877,1.03797,2,3,0,0.508647
-7.72613,0.980723,1.03797,2,3,0,0.278076
-7.6927,1,1.03797,1,1,0,0.289495
-7.6927,0.784268,1.03797,2,3,0,0.289495
-8.00342,0.913951,1.03797,2,3,0,0.454632
-7.92618,1,1.03797,1,1,0,0.440711
-8.60175,0.907106,1.03797,2,3,0,0.532314
-7.86543,1,1.03797,2,3,0,0.246563
-7.68345,1,1.03797,2,3,0,0.293293
-8.09223,0.889887,1.03797,2,3,0,0.46895
-7.80393,1,1.03797,2,3,0,0.258531
-8.09245,0.975769,1.03797,2,3,0,0.214124
-7.65754,1,1.03797,2,3,0,0.306931
-7.64054,0.986317,1.03797,2,3,0,0.324014
-7.67856,0.990858,1.03797,2,3,0,0.372696
-7.67856,0.626151,1.03797,2,3,0,0.372696
-7.92698,0.918474,1.03797,1,1,0,0.440864
-7.71863,1,1.03797,1,1,0,0.389234
-8.42834,0.747138,1.03797,2,3,0,0.181493
-8.28608,1,1.03797,2,3,0,0.193895
-9.81826,0.817974,1.03797,2,3,0,0.107948
-7.71227,0.990761,1.03797,2,3,0,0.282464
-7.65187,0.955527,1.03797,2,3,0,0.311075
-7.65187,0.798019,1.03797,2,3,0,0.311075
-7.76025,0.968904,1.03797,2,3,0,0.4025
-7.76025,0.837083,1.03797,1,1,0,0.4025
-8.11627,0.882656,1.03797,1,1,0,0.472582
-7.98079,1,1.03797,1,1,0,0.450717
-7.71888,1,1.03797,2,3,0,0.280322
-7.69538,1,1.03797,1,1,0,0.288463
