# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = betabinomialstr_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = betabinomialstr_2.data.R
# init = 2 (Default)
# random
#   seed = 792387605
# output
#   file = betabinomialstr_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 1.17752
# Diagonal elements of inverse mass matrix:
# 0.338039

-7.63972,1,1.17752,2,3,0,0.325795
-7.64564,0.999142,1.17752,2,3,0,0.350095
-7.63939,0.81834,1.17752,2,3,0,0.326625
-8.66109,0.756803,1.17752,2,3,0,0.164235
-8.66109,0.503168,1.17752,2,3,0,0.164235
-8.17288,1,1.17752,2,3,0,0.205149
-7.83862,1,1.17752,1,1,0,0.251519
-7.83862,0.630046,1.17752,2,3,0,0.251519
-8.08231,0.940061,1.17752,1,1,0,0.215325
-7.96091,1,1.17752,1,1,0,0.231254
-9.31156,0.800923,1.17752,2,3,0,0.128321
-7.86482,1,1.17752,2,3,0,0.428293
-8.29069,0.947247,1.17752,2,3,0,0.496581
-9.07625,0.759976,1.17752,1,1,0,0.57646
-8.00688,1,1.17752,1,1,0,0.455219
-8.00688,0.749257,1.17752,1,1,0,0.455219
-9.01485,0.702632,1.17752,1,1,0,0.571258
-8.67532,1,1.17752,1,1,0,0.539834
-14.5859,0.156575,1.17752,1,1,0,0.821851
-12.11,1,1.17752,1,1,0,0.745021
-8.65548,1,1.17752,1,1,0,0.537835
-8.34887,1,1.17752,1,1,0,0.503844
-7.77836,1,1.17752,1,1,0,0.407574
-7.70426,1,1.17752,1,1,0,0.383899
-7.66166,0.856996,1.17752,2,3,0,0.304299
-7.71031,0.880896,1.17752,2,3,0,0.386208
