# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = beta_1.data.R
# init = 2 (Default)
# random
#   seed = 1307530492
# output
#   file = beta_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 1.02418
# Diagonal elements of inverse mass matrix:
# 0.360282

-7.74514,0.967327,1.02418,2,3,0,0.272624
-7.67088,1,1.02418,2,3,0,0.299176
-8.56954,0.818225,1.02418,2,3,0,0.170645
-7.77212,1,1.02418,2,3,0,0.405863
-10.4524,0.601486,1.02418,2,3,0,0.0881685
-8.15828,0.864752,1.02418,2,3,0,0.478718
-7.65123,0.987224,1.02418,2,3,0,0.311589
-7.78784,0.959964,1.02418,2,3,0,0.410102
-7.86092,0.980048,1.02418,1,1,0,0.427452
-7.73012,0.952024,1.02418,2,3,0,0.393175
-7.78448,0.937946,1.02418,2,3,0,0.262832
-7.7231,1,1.02418,1,1,0,0.279001
-7.93269,0.926054,1.02418,2,3,0,0.44195
-8.58434,0.832056,1.02418,1,1,0,0.53049
-7.63825,0.981475,1.02418,2,3,0,0.331667
-7.90034,0.93645,1.02418,2,3,0,0.435656
-7.90034,0.830974,1.02418,1,1,0,0.435656
-8.02478,0.965748,1.02418,1,1,0,0.458219
-7.75706,1,1.02418,1,1,0,0.40157
-9.24781,0.721117,1.02418,2,3,0,0.590353
-8.32321,1,1.02418,1,1,0,0.500679
-7.69866,0.934729,1.02418,2,3,0,0.38167
-7.69866,0.473398,1.02418,3,7,0,0.38167
-7.64196,0.995965,1.02418,2,3,0,0.345253
-7.78162,0.847501,1.02418,2,3,0,0.26349
-7.96658,0.961395,1.02418,1,1,0,0.230436
-7.82195,0.922353,1.02418,2,3,0,0.418614
-7.64982,1,1.02418,2,3,0,0.312786
-7.82817,0.949966,1.02418,2,3,0,0.420081
-7.64019,1,1.02418,2,3,0,0.324725
-9.42553,0.643536,1.02418,2,3,0,0.603859
-8.92092,1,1.02418,1,1,0,0.563039
-7.75376,1,1.02418,2,3,0,0.270328
-7.68467,0.931037,1.02418,2,3,0,0.375618
-7.75438,0.981455,1.02418,1,1,0,0.40078
-7.96314,0.944053,1.02418,1,1,0,0.447574
-7.65141,0.988076,1.02418,2,3,0,0.311448
-7.63827,0.943413,1.02418,2,3,0,0.331433
-7.64067,0.96307,1.02418,2,3,0,0.323749
-8.40741,0.886823,1.02418,2,3,0,0.183216
-8.00549,1,1.02418,2,3,0,0.225037
-7.77225,1,1.02418,1,1,0,0.2657
-8.53255,0.798809,1.02418,2,3,0,0.524956
-9.90982,0.683074,1.02418,1,1,0,0.63694
-7.65046,0.933998,1.02418,2,3,0,0.354887
-7.71571,0.911015,1.02418,2,3,0,0.281336
-7.95116,0.963623,1.02418,2,3,0,0.232683
-7.95116,0.811276,1.02418,2,3,0,0.232683
-8.59643,0.405518,1.02418,2,3,0,0.531758
-11.5298,0.453927,1.02418,1,1,0,0.72139
-12.0962,0.881836,1.02418,1,1,0,0.744493
-9.45287,1,1.02418,3,7,0,0.122124
-7.66873,1,1.02418,2,3,0,0.300295
-8.07767,0.889982,1.02418,2,3,0,0.466704
-8.16095,0.976743,1.02418,1,1,0,0.479098
-8.92743,0.805226,1.02418,1,1,0,0.56362
-7.64361,1,1.02418,2,3,0,0.347625
-7.71322,0.978272,1.02418,2,3,0,0.282149
-7.64325,0.999843,1.02418,2,3,0,0.319718
-7.72567,0.846655,1.02418,2,3,0,0.278215
-7.6644,0.95273,1.02418,2,3,0,0.364954
-7.64231,1,1.02418,2,3,0,0.345788
-7.64505,0.999296,1.02418,1,1,0,0.349417
-7.65305,0.997931,1.02418,1,1,0,0.357071
-7.65305,0.746312,1.02418,2,3,0,0.357071
-7.67845,0.955118,1.02418,2,3,0,0.295513
-8.08412,0.923973,1.02418,2,3,0,0.215109
-7.75824,0.995504,1.02418,2,3,0,0.269171
-7.73812,0.975832,1.02418,2,3,0,0.395779
-7.93858,0.675434,1.02418,2,3,0,0.234565
-7.65212,0.998978,1.02418,2,3,0,0.310874
-7.7241,0.987059,1.02418,2,3,0,0.278694
-7.72916,0.999616,1.02418,2,3,0,0.277165
-7.70609,1,1.02418,1,1,0,0.284567
-8.35406,0.883776,1.02418,2,3,0,0.187758
-8.08753,1,1.02418,1,1,0,0.214705
-7.79808,1,1.02418,1,1,0,0.259794
-7.73783,1,1.02418,1,1,0,0.274653
-7.63894,0.999404,1.02418,2,3,0,0.32801
-7.64194,0.941455,1.02418,2,3,0,0.321595
-7.87818,0.964645,1.02418,2,3,0,0.431123
-7.87818,0.694186,1.02418,3,7,0,0.431123
-7.68181,0.97651,1.02418,2,3,0,0.294006
-7.98588,0.911255,1.02418,2,3,0,0.451608
-8.27771,0.920925,1.02418,1,1,0,0.494916
-7.79679,1,1.02418,1,1,0,0.41242
-9.29331,0.532332,1.02418,2,3,0,0.129154
-8.97093,1,1.02418,1,1,0,0.145351
-9.59788,0.921501,1.02418,1,1,0,0.116203
-9.7173,0.987062,1.02418,3,7,0,0.624373
-9.7173,0.847102,1.02418,1,1,0,0.624373
-7.65942,1,1.02418,2,3,0,0.305698
-8.30433,0.84103,1.02418,2,3,0,0.498312
-7.65962,0.981354,1.02418,2,3,0,0.305567
-7.80123,0.985112,1.02418,2,3,0,0.413546
-7.93954,0.897176,1.02418,2,3,0,0.23442
-7.74689,0.95492,1.02418,2,3,0,0.398522
-7.65666,0.990126,1.02418,2,3,0,0.307526
-7.65197,0.996182,1.02418,2,3,0,0.356184
-7.6462,1,1.02418,1,1,0,0.350722
-7.70361,0.988563,1.02418,2,3,0,0.383645
-7.65507,0.992415,1.02418,2,3,0,0.308643
-7.63817,0.942577,1.02418,2,3,0,0.333522
-7.64846,0.997447,1.02418,2,3,0,0.353037
-7.64846,0.586542,1.02418,2,3,0,0.353037
-8.13071,0.864395,1.02418,2,3,0,0.209738
-7.63867,0.991083,1.02418,2,3,0,0.337633
-7.65389,0.996598,1.02418,2,3,0,0.357736
-7.65389,0.664571,1.02418,2,3,0,0.357736
-7.98039,0.93005,1.02418,2,3,0,0.450646
-8.04211,0.994265,1.02418,2,3,0,0.461059
-7.66186,1,1.02418,2,3,0,0.304177
-7.66186,0.918137,1.02418,2,3,0,0.304177
-8.56769,0.811219,1.02418,2,3,0,0.170779
-8.4997,1,1.02418,1,1,0,0.175851
-7.6927,0.950548,1.02418,2,3,0,0.379182
-8.30729,0.912007,1.02418,2,3,0,0.191935
-7.66182,0.997618,1.02418,2,3,0,0.304203
-7.94647,0.949079,1.02418,2,3,0,0.233379
-7.64366,0.989476,1.02418,2,3,0,0.34769
-7.64366,0.615248,1.02418,2,3,0,0.34769
-7.70832,0.979634,1.02418,2,3,0,0.283796
-8.18628,0.866363,1.02418,2,3,0,0.482669
-7.66759,1,1.02418,2,3,0,0.300909
-7.67637,0.997915,1.02418,1,1,0,0.296482
-7.77079,0.975544,1.02418,2,3,0,0.266053
-8.00822,0.911278,1.02418,2,3,0,0.455447
