# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = lr_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = lr_1.data.R
# init = 2 (Default)
# random
#   seed = 1311990393
# output
#   file = lr_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta_0,beta_1,beta_2,ys.1,ys.2,ys.3,ys.4
# Adaptation terminated
# Step size = 0.661738
# Diagonal elements of inverse mass matrix:
# 2.83949, 2.152, 2.09876

-1.40753,0.893883,0.661738,2,3,0,-1.0718,2.90105,-0.0952245,0.837372,0.990388,0.0011365,0.0222613
-1.40753,0.714263,0.661738,2,3,0,-1.0718,2.90105,-0.0952245,0.837372,0.990388,0.0011365,0.0222613
-1.41192,0.927019,0.661738,2,3,0,-0.613305,1.55867,-0.426141,0.523255,0.888737,0.0354167,0.210868
-1.71658,0.917751,0.661738,2,3,0,1.05795,3.41001,0.915499,0.998165,0.999848,0.00125725,0.0150226
-2.10313,0.980906,0.661738,2,3,0,2.66463,2.31332,0.484509,0.997393,0.99958,0.0796935,0.350302
-0.653076,1,0.661738,2,3,0,0.629378,0.801724,1.83361,0.99393,0.98315,0.0569105,0.0210503
-1.86439,0.844675,0.661738,2,3,0,2.57458,1.79139,2.11659,0.999816,0.999745,0.0420958,0.0307688
-1.28218,0.983802,0.661738,3,7,0,-1.0074,2.75967,1.20728,0.984735,0.996728,0.000437489,0.00206279
-0.489221,0.939394,0.661738,2,3,0,0.354339,1.18192,0.771251,0.956008,0.970385,0.0583737,0.085483
-0.489221,0.304821,0.661738,2,3,0,0.354339,1.18192,0.771251,0.956008,0.970385,0.0583737,0.085483
-0.489221,0.0590659,0.661738,2,3,0,0.354339,1.18192,0.771251,0.956008,0.970385,0.0583737,0.085483
-0.489529,0.918909,0.661738,3,7,0,-0.342801,0.98564,0.83769,0.910375,0.921736,0.0410216,0.0472536
-1.11848,0.954726,0.661738,2,3,0,1.2192,0.0942467,2.14143,0.996302,0.972054,0.247737,0.0407811
-2.06323,0.78298,0.661738,2,3,0,0.355005,2.01894,3.50609,0.999916,0.999629,0.000754306,0.000170584
-1.2618,0.754679,0.661738,2,3,0,0.49897,1.27845,2.84839,0.999433,0.99728,0.00734525,0.00153717
-1.19447,0.931446,0.661738,3,7,0,1.81084,1.14619,0.897663,0.991443,0.993313,0.201137,0.244036
-0.479203,0.913004,0.661738,3,7,0,0.111951,0.948578,1.40135,0.979432,0.96803,0.039675,0.0255978
-0.513034,0.984692,0.661738,2,3,0,-0.497291,1.32198,1.03071,0.947156,0.959974,0.0151877,0.0202192
-2.69007,0.906368,0.661738,2,3,0,-0.589727,3.91298,-1.28652,0.679226,0.9974,0.000800742,0.126787
-3.71605,0.972003,0.661738,2,3,0,-1.26752,4.77974,-1.37766,0.68068,0.999008,7.87361e-05,0.035849
-2.20551,0.601815,0.661738,2,3,0,-0.676914,3.77193,1.71516,0.998536,0.999813,4.84018e-05,0.000378409
-1.68511,0.977251,0.661738,2,3,0,-2.5515,1.14136,1.79433,0.898305,0.821356,0.00132033,0.000687661
-1.68511,0.314535,0.661738,1,1,0,-2.5515,1.14136,1.79433,0.898305,0.821356,0.00132033,0.000687661
-3.38285,0.423573,0.661738,3,7,0,3.09859,3.35087,-0.173124,0.997769,0.999934,0.0313699,0.523473
-2.71576,1,0.661738,2,3,0,2.26486,3.62999,-0.32681,0.994734,0.999899,0.00930087,0.329266
-4.26433,0.797577,0.661738,2,3,0,2.94118,3.32165,-0.897875,0.988649,0.999831,0.0570958,0.804599
-4.17982,1,0.661738,3,7,0,-3.17243,-0.616004,3.81484,0.978984,0.356727,0.00315607,3.76887e-05
-2.00168,1,0.661738,2,3,0,-1.24332,1.59741,3.44536,0.999287,0.99549,0.000376769,5.93823e-05
-1.07785,1,0.661738,2,3,0,-1.37317,0.905532,2.28865,0.983852,0.938575,0.00418155,0.00105201
-0.884538,0.451743,0.661738,3,7,0,1.14677,0.81787,0.780756,0.971423,0.972435,0.219304,0.225724
-1.00552,0.454075,0.661738,2,3,0,0.382683,2.52672,1.15956,0.994667,0.998636,0.00292853,0.0113945
-5.42406,0.813612,0.661738,2,3,0,3.18051,3.50974,-1.27622,0.984293,0.999867,0.0715751,0.902315
-5.42406,0.320335,0.661738,3,7,0,3.18051,3.50974,-1.27622,0.984293,0.999867,0.0715751,0.902315
-3.32616,1,0.661738,2,3,0,2.55307,4.20033,-0.279708,0.997962,0.999977,0.00380406,0.252025
-3.46003,0.927659,0.661738,3,7,0,-1.57641,4.97409,-0.203826,0.952122,0.999716,1.21185e-05,0.00214419
-4.09968,0.878318,0.661738,3,5,0,4.35046,0.950874,2.5776,0.999971,0.999854,0.467823,0.147341
-2.30417,1,0.661738,2,3,0,2.93599,2.27247,2.04663,0.999909,0.999927,0.0251955,0.0313791
-2.34476,0.981518,0.661738,2,3,0,2.40233,3.12472,1.75408,0.999881,0.99997,0.00367987,0.014336
-1.0354,0.742738,0.661738,3,7,0,1.02895,2.4606,0.829223,0.994223,0.998864,0.00882359,0.0435178
-1.66883,0.949905,0.661738,2,3,0,-0.00527134,3.46356,-0.43096,0.930627,0.998485,0.00149904,0.068695
-3.12322,0.912334,0.661738,2,3,0,1.39437,4.57174,-0.775287,0.988056,0.999942,0.000935196,0.16427
-3.85944,0.902014,0.661738,1,1,0,1.93072,4.75081,-1.07737,0.9893,0.999968,0.00151091,0.339536
-3.44441,1,0.661738,2,3,0,1.61635,4.47042,-1.12699,0.97881,0.99992,0.00203039,0.354325
-5.79315,0.915758,0.661738,3,7,0,-2.17082,-1.94607,5.37084,0.998675,0.33356,0.0253446,1.72716e-05
-1.44585,1,0.661738,2,3,0,1.67587,1.89366,2.23371,0.999677,0.999546,0.0128033,0.00914632
-2.02866,0.861451,0.661738,3,7,0,-1.40258,0.450621,0.349793,0.437238,0.462185,0.0657664,0.0722393
-1.13103,0.968704,0.661738,3,7,0,1.84278,1.66863,1.29438,0.997763,0.99846,0.0579294,0.082066
-2.14868,0.868983,0.661738,2,3,0,0.195686,0.230294,0.0113463,0.610324,0.66097,0.431374,0.485679
-2.09957,0.745246,0.661738,3,7,0,-1.75917,1.86505,-0.344135,0.358384,0.835731,0.00579388,0.0504046
-2.09957,0.728105,0.661738,1,1,0,-1.75917,1.86505,-0.344135,0.358384,0.835731,0.00579388,0.0504046
-2.8831,0.407853,0.661738,2,3,0,-1.20094,1.2575,-0.733387,0.196201,0.641223,0.0482204,0.270583
-1.85402,1,0.661738,1,1,0,-1.61033,0.950071,0.182633,0.426782,0.615963,0.0242899,0.0508993
-0.819702,1,0.661738,2,3,0,-0.884151,1.95509,0.337912,0.851545,0.966559,0.00586862,0.0288865
-1.15054,0.87259,0.661738,3,7,0,1.22919,1.04054,2.49803,0.999301,0.997006,0.0338975,0.00810278
-1.94333,0.936494,0.661738,3,7,0,-0.482669,3.84957,-0.11578,0.958327,0.999176,0.000313928,0.0162916
-2.03351,0.982022,0.661738,2,3,0,-0.741563,2.68116,-0.981558,0.494121,0.974399,0.0059268,0.188527
-0.965356,1,0.661738,3,7,0,1.60803,1.51835,1.24895,0.996404,0.997251,0.0643073,0.0825483
-2.3576,0.83423,0.661738,3,7,0,0.327653,4.22243,0.941018,0.998394,0.99994,0.000116415,0.003089
-3.51904,0.883201,0.661738,2,3,0,2.24866,3.98103,2.69052,0.999991,0.999998,0.000223937,0.000813445
-2.08482,1,0.661738,2,3,0,0.819388,0.0248516,0.414328,0.841961,0.783031,0.587916,0.491471
-3.11231,0.909813,0.661738,3,7,0,-1.33839,4.78376,0.199499,0.979049,0.999782,1.50305e-05,0.00146981
-3.08549,0.951854,0.661738,3,7,0,-3.82883,2.24901,1.40954,0.775435,0.888818,5.90903e-05,0.000136791
-3.60142,0.966154,0.661738,2,3,0,-3.79189,3.09495,0.542076,0.59561,0.949792,2.68866e-05,0.000345218
-5.01398,0.6011,0.661738,2,3,0,-3.5945,4.92162,1.70175,0.991256,0.999648,2.66075e-07,6.65841e-06
