# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = gauss_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = gauss_2.data.R
# init = 2 (Default)
# random
#   seed = 1244945196
# output
#   file = gauss_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,s,m
# Adaptation terminated
# Step size = 0.785198
# Diagonal elements of inverse mass matrix:
# 0.358382, 0.547428

-9.0076,0.568697,0.785198,1,1,0,0.847375,-0.474604
-5.91962,0.833428,0.785198,2,3,0,0.856595,0.182982
-8.01261,0.927286,0.785198,2,3,0,8.58488,0.905077
-7.32519,1,0.785198,1,1,0,6.81154,0.947797
-5.85411,0.93509,0.785198,3,7,0,3.57417,0.389323
-4.42849,0.947586,0.785198,3,7,0,1.80689,1.51024
-4.34573,0.972053,0.785198,2,3,0,1.73453,0.894614
-4.48182,0.994523,0.785198,2,3,0,1.62093,0.624328
-4.30489,0.883761,0.785198,2,3,0,1.66831,1.43754
-4.18569,0.971397,0.785198,3,7,0,0.979244,1.408
-4.40712,0.824617,0.785198,2,3,0,0.786423,0.99571
-4.40712,0.478877,0.785198,1,1,0,0.786423,0.99571
-4.18377,1,0.785198,1,1,0,0.888524,1.19944
-4.27507,0.84953,0.785198,2,3,0,1.14112,0.744133
-4.27507,0.903204,0.785198,1,1,0,1.14112,0.744133
-4.21852,1,0.785198,1,1,0,1.20187,0.789586
-4.87563,0.715968,0.785198,2,3,0,1.4663,2.02362
-4.87563,0.681571,0.785198,1,1,0,1.4663,2.02362
-5.46257,0.734866,0.785198,1,1,0,0.968885,2.10349
-5.46257,0.199953,0.785198,3,7,0,0.968885,2.10349
-4.54959,1,0.785198,2,3,0,1.15595,0.539804
-4.45504,0.990775,0.785198,3,7,0,1.89668,1.44619
-4.21986,1,0.785198,2,3,0,1.62077,1.06105
-6.01919,0.707944,0.785198,2,3,0,2.65424,-0.205606
-4.07192,0.944842,0.785198,3,7,0,1.02214,1.15033
-4.71789,0.81504,0.785198,2,3,0,1.60096,0.421519
-4.2893,0.908266,0.785198,2,3,0,1.3871,1.59699
-4.18507,0.979854,0.785198,2,3,0,1.57942,1.16129
-5.0758,0.873693,0.785198,2,3,0,1.89224,2.09672
-4.07386,1,0.785198,2,3,0,1.29107,1.28747
-4.54546,0.914179,0.785198,2,3,0,2.10429,1.20518
-4.83015,0.951692,0.785198,2,3,0,1.40069,0.337904
