# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = gauss_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = gauss_3.data.R
# init = 2 (Default)
# random
#   seed = 1244945199
# output
#   file = gauss_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,s,m
# Adaptation terminated
# Step size = 0.618411
# Diagonal elements of inverse mass matrix:
# 0.36421, 0.743379

-4.59926,0.971212,0.618411,2,3,0,1.73443,1.77268
-4.25713,0.994182,0.618411,3,7,0,1.13354,0.762524
-4.0934,0.999517,0.618411,3,7,0,1.38768,1.10488
-4.7183,0.90797,0.618411,2,3,0,2.33656,1.1898
-4.88308,0.998606,0.618411,3,7,0,2.55369,1.09886
-4.88646,0.977246,0.618411,2,3,0,2.39218,1.61633
-4.10682,0.925422,0.618411,2,3,0,1.27243,1.38166
-5.26388,0.815502,0.618411,3,7,0,1.78796,0.104596
-5.45227,0.981511,0.618411,3,7,0,2.11283,0.0397882
-4.11076,0.980326,0.618411,3,7,0,1.43415,1.20502
-4.59522,0.939203,0.618411,2,3,0,2.16555,1.2539
-4.34134,0.999977,0.618411,3,7,0,1.73207,0.900751
-5.81888,0.926034,0.618411,3,7,0,1.09247,2.30258
-5.20707,1,0.618411,3,5,0,2.50675,0.389219
-4.12923,0.975601,0.618411,3,7,0,1.0842,1.40723
-4.40868,0.851897,0.618411,2,3,0,1.45415,0.636303
-4.44818,0.996853,0.618411,1,1,0,1.48447,0.608528
-4.06792,1,0.618411,2,3,0,1.03583,1.20926
-5.18428,0.834353,0.618411,2,3,0,1.73147,2.18851
-4.46829,0.977032,0.618411,3,7,0,1.30716,0.571141
-4.51759,0.998452,0.618411,2,3,0,1.82519,0.705891
-4.67353,0.877782,0.618411,2,3,0,1.88165,1.77078
-6.89452,0.773154,0.618411,3,7,0,5.8352,0.880373
-4.31082,0.987095,0.618411,3,7,0,1.24024,1.63465
-5.87271,0.8381,0.618411,2,3,0,2.10637,2.53162
-7.66997,0.956679,0.618411,2,3,0,6.71792,2.49743
-4.1802,0.920564,0.618411,3,5,0,1.07426,0.863392
-6.95486,0.678885,0.618411,3,5,0,6.00669,1.17282
-9.6819,0.841611,0.618411,3,5,0,14.6709,1.33909
-8.63474,0.941448,0.618411,3,7,0,10.2266,0.349394
-8.02281,1,0.618411,2,3,0,8.50194,0.626394
-6.10178,0.99985,0.618411,3,7,0,0.85056,2.19573
-7.19245,0.753239,0.618411,3,7,0,5.61753,-0.0948425
-6.91465,0.998215,0.618411,3,7,0,5.29693,0.122376
-8.90012,0.991258,0.618411,2,3,0,7.92151,-1.28816
-8.71254,0.969985,0.618411,3,7,0,5.04888,-1.57715
-8.823,1,0.618411,2,3,0,5.5211,-1.61578
-8.90336,0.995675,0.618411,1,1,0,5.39458,-1.6764
-6.45475,0.981202,0.618411,3,7,0,4.57871,0.314357
-6.21416,0.988935,0.618411,2,3,0,2.45362,-0.351199
-5.25921,0.805461,0.618411,2,3,0,1.02518,0.265158
-4.23446,1,0.618411,2,3,0,1.04607,1.51433
-5.1774,0.828262,0.618411,3,7,0,2.35136,0.328336
-4.92414,0.975512,0.618411,2,3,0,2.39832,1.67225
-5.11111,0.994212,0.618411,3,7,0,2.80624,1.4554
-5.21196,0.993199,0.618411,1,1,0,2.99442,1.30568
-6.91248,0.933421,0.618411,2,3,0,3.4458,2.95835
-6.78739,0.956597,0.618411,2,3,0,2.14185,2.94513
-5.71152,1,0.618411,2,3,0,3.20692,2.04354
-4.98783,0.975482,0.618411,3,7,0,2.68279,1.02148
-5.22443,0.985169,0.618411,3,5,0,0.584832,1.38285
-5.22443,0.185294,0.618411,1,1,0,0.584832,1.38285
-5.37856,0.95349,0.618411,3,7,0,3.15977,1.52077
-4.51171,0.994556,0.618411,2,3,0,1.97227,1.45718
-4.65497,0.9965,0.618411,2,3,0,1.98765,1.67666
-4.56425,1,0.618411,2,3,0,2.04038,1.46859
-4.80111,0.978416,0.618411,3,7,0,0.694019,1.46773
-4.4284,0.837768,0.618411,3,7,0,0.770645,1.02038
-4.31333,1,0.618411,1,1,0,0.834652,0.99387
-4.44876,0.975245,0.618411,2,3,0,0.886157,1.56148
-4.2857,0.897255,0.618411,2,3,0,1.00635,0.794922
-4.48284,0.982186,0.618411,2,3,0,1.08657,1.72752
-4.33307,1,0.618411,1,1,0,1.23653,1.65369
-4.68488,0.983673,0.618411,2,3,0,1.34959,1.90748
-4.91429,0.990856,0.618411,3,7,0,0.734894,1.62886
-4.51598,0.947568,0.618411,3,7,0,1.49557,0.553635
-4.52977,0.990437,0.618411,2,3,0,1.20726,0.53982
-4.60624,1,0.618411,2,3,0,2.17826,1.26607
-4.74156,0.902715,0.618411,2,3,0,1.37069,1.94263
-4.75751,0.979624,0.618411,2,3,0,0.949024,1.80198
-4.13935,0.907348,0.618411,2,3,0,1.18942,0.886234
-4.4722,0.915835,0.618411,3,7,0,1.80928,1.57769
-4.655,0.968856,0.618411,2,3,0,1.09661,1.83371
-4.87189,0.960878,0.618411,1,1,0,1.14036,1.96171
-4.26839,0.9995,0.618411,3,7,0,1.65722,1.36728
-4.8029,0.964355,0.618411,3,7,0,1.05896,0.440758
-4.49959,0.921894,0.618411,2,3,0,1.15864,1.76274
-4.52173,0.916094,0.618411,3,7,0,1.61985,0.585515
-4.38557,0.957951,0.618411,3,7,0,1.88423,1.20465
-4.0894,0.976403,0.618411,2,3,0,1.19151,1.36416
-4.0894,0.716367,0.618411,2,3,0,1.19151,1.36416
-4.06753,0.999224,0.618411,3,7,0,1.12481,1.02801
-4.45694,0.855782,0.618411,2,3,0,1.53855,1.71673
-4.58608,0.969386,0.618411,1,1,0,1.36129,1.84496
-5.3124,0.933351,0.618411,3,5,0,2.15198,2.19184
-5.66513,0.969202,0.618411,1,1,0,2.09789,2.42129
-4.51789,0.957839,0.618411,3,5,0,1.62713,1.74138
-4.56375,0.978563,0.618411,3,7,0,1.09397,1.78061
-4.17106,1,0.618411,2,3,0,0.932707,1.0151
-4.21787,0.816766,0.618411,3,7,0,1.62437,1.08501
-4.5414,0.93132,0.618411,2,3,0,1.56704,1.78289
-5.71697,0.861816,0.618411,2,3,0,0.681887,0.469624
-4.42382,1,0.618411,2,3,0,0.873872,0.806221
-5.5401,0.971936,0.618411,2,3,0,0.632153,1.7043
-7.30251,0.432339,0.618411,1,1,0,0.711776,2.31017
-4.55072,1,0.618411,1,1,0,0.865378,1.6084
-4.8493,0.915439,0.618411,1,1,0,0.900375,1.80623
-4.36192,1,0.618411,2,3,0,0.833657,1.40311
-4.2666,0.791969,0.618411,3,5,0,1.70377,1.09128
-4.82785,0.921243,0.618411,3,7,0,2.48112,1.21815
-4.79621,1,0.618411,2,3,0,2.4379,1.10564
-4.65102,0.918061,0.618411,2,3,0,0.684888,1.0875
-4.68821,0.943392,0.618411,1,1,0,0.764823,0.783679
-4.10998,0.937482,0.618411,2,3,0,0.965839,1.11669
-5.07868,0.910964,0.618411,2,3,0,0.609881,1.38206
-4.82115,1,0.618411,1,1,0,0.658233,0.977719
-4.09211,0.968475,0.618411,2,3,0,1.14983,0.966614
-5.15632,0.769657,0.618411,2,3,0,1.0967,2.06752
-7.81891,0.524028,0.618411,3,7,0,3.16482,-1.12832
-7.81891,0.898377,0.618411,3,7,0,3.16482,-1.12832
-4.94118,0.976218,0.618411,3,5,0,1.93881,1.98477
-4.90345,0.982518,0.618411,3,7,0,1.90295,1.96766
-4.16335,0.987871,0.618411,3,7,0,1.10676,1.46282
-4.21879,0.913815,0.618411,2,3,0,1.47633,0.869926
-4.19771,0.998596,0.618411,2,3,0,1.22645,0.811959
-5.35591,0.862236,0.618411,3,7,0,1.89226,2.27046
-5.51665,0.996262,0.618411,1,1,0,1.998,2.34953
-6.87498,0.993068,0.618411,2,3,0,5.08811,2.29943
-7.75176,0.958794,0.618411,2,3,0,2.41104,3.35451
-5.37417,0.959074,0.618411,3,5,0,3.22504,1.02207
-5.55604,0.968121,0.618411,2,3,0,1.15301,0.0870753
-5.96946,0.962964,0.618411,3,7,0,3.45629,0.151392
-6.27702,0.992238,0.618411,2,3,0,2.57381,-0.373065
-6.83934,0.994582,0.618411,2,3,0,4.11657,-0.400426
-4.31217,0.993794,0.618411,3,5,0,1.30705,0.69911
-5.28392,0.918894,0.618411,3,7,0,3.0465,1.46766
-4.82769,1,0.618411,2,3,0,1.79032,1.94574
-5.03716,0.974354,0.618411,3,7,0,1.81886,2.08694
-4.39161,0.999203,0.618411,2,3,0,1.59226,1.62637
-4.13041,0.988169,0.618411,3,7,0,0.94935,1.08269
-4.23843,0.907698,0.618411,2,3,0,1.38544,1.53894
-4.6866,0.955202,0.618411,2,3,0,2.10849,1.60882
-4.92854,0.951341,0.618411,2,3,0,1.48332,2.05372
-4.44581,0.937041,0.618411,2,3,0,0.747569,1.13582
-4.39715,0.899666,0.618411,3,7,0,0.896362,1.53305
-4.26459,1,0.618411,2,3,0,1.70009,1.08865
-4.32071,0.92351,0.618411,3,5,0,1.07232,1.60469
-4.74515,0.91161,0.618411,3,7,0,2.03134,0.579545
-4.61693,1,0.618411,1,1,0,2.00406,0.724573
-4.55644,1,0.618411,1,1,0,1.83138,0.661465
-4.48491,1,0.618411,1,1,0,1.84203,0.766927
-4.40657,1,0.618411,1,1,0,1.67514,0.739587
-4.1923,0.998831,0.618411,2,3,0,1.45262,1.43526
-4.12598,0.97023,0.618411,2,3,0,1.10124,0.92355
-6.67024,0.835435,0.618411,3,5,0,5.15871,0.482004
-5.70351,0.926736,0.618411,3,7,0,3.49677,1.76648
-7.82954,0.796932,0.618411,3,5,0,5.02945,3.30528
-7.91586,0.998438,0.618411,2,3,0,5.3019,3.31641
-6.34854,0.98476,0.618411,3,5,0,1.41396,-0.289124
-6.34854,0.650254,0.618411,3,7,0,1.41396,-0.289124
-5.32136,1,0.618411,1,1,0,1.49532,0.0809682
-5.32136,0.799847,0.618411,3,7,0,1.49532,0.0809682
-4.57948,0.992072,0.618411,2,3,0,0.825002,0.758244
-4.45468,0.859044,0.618411,3,7,0,1.51363,1.72251
-4.89065,0.922363,0.618411,3,7,0,2.18355,0.519987
-4.10633,0.986609,0.618411,2,3,0,1.3409,1.34208
-6.06646,0.715046,0.618411,2,3,0,1.64343,2.58769
-4.98922,0.963008,0.618411,3,7,0,1.36259,0.257662
-4.92972,0.986655,0.618411,2,3,0,1.9298,0.354406
-5.54808,0.857797,0.618411,2,3,0,0.524264,1.08402
