# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = beta_2.data.R
# init = 2 (Default)
# random
#   seed = 1169982859
# output
#   file = beta_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 0.790455
# Diagonal elements of inverse mass matrix:
# 0.412175

-8.35017,0.821671,0.790455,2,3,0,0.188099
-9.22525,0.926806,0.790455,2,3,0,0.132336
-8.31078,0.992387,0.790455,2,3,0,0.191617
-8.11514,0.904528,0.790455,2,3,0,0.211496
-8.00077,0.876781,0.790455,2,3,0,0.454179
-7.70782,0.948234,0.790455,2,3,0,0.283966
-7.76859,0.958581,0.790455,2,3,0,0.404878
-7.95954,0.870931,0.790455,2,3,0,0.231453
-9.26376,0.837037,0.790455,3,7,0,0.5916
-7.64168,1,0.790455,2,3,0,0.344801
-7.67462,0.989735,0.790455,2,3,0,0.297316
-7.65603,1,0.790455,2,3,0,0.30796
-7.65534,1,0.790455,1,1,0,0.308453
-7.6407,0.997406,0.790455,3,7,0,0.343063
-7.65195,0.995768,0.790455,2,3,0,0.311007
-7.63824,0.999513,0.790455,2,3,0,0.331743
-9.22267,0.666615,0.790455,2,3,0,0.132459
-7.79135,1,0.790455,2,3,0,0.261279
-7.64464,0.979298,0.790455,2,3,0,0.31798
-8.29904,0.939065,0.790455,2,3,0,0.497642
-8.29161,1,0.790455,1,1,0,0.496698
-8.09287,1,0.790455,2,3,0,0.469049
-7.77887,0.99038,0.790455,3,7,0,0.264129
-7.92792,0.978388,0.790455,1,1,0,0.236197
-7.95267,0.996053,0.790455,3,7,0,0.232459
-8.86112,0.787186,0.790455,2,3,0,0.557631
-7.85296,0.858267,0.790455,2,3,0,0.248824
-7.68557,0.998598,0.790455,2,3,0,0.292388
-8.08369,0.960867,0.790455,3,7,0,0.21516
-7.86013,0.900697,0.790455,2,3,0,0.42728
-7.87483,0.997222,0.790455,1,1,0,0.430421
-8.31145,0.953953,0.790455,3,7,0,0.499209
-7.84128,0.984733,0.790455,3,7,0,0.251011
-7.8131,1,0.790455,3,7,0,0.416484
-7.80967,1,0.790455,1,1,0,0.415645
-9.12839,0.839054,0.790455,2,3,0,0.580779
-7.63914,1,0.790455,2,3,0,0.327368
-7.68985,0.994855,0.790455,2,3,0,0.377951
-7.64459,0.965696,0.790455,2,3,0,0.348874
-8.1089,0.88247,0.790455,2,3,0,0.21221
-7.64238,0.99814,0.790455,3,7,0,0.345891
-8.10402,0.899646,0.790455,3,7,0,0.212774
-7.8678,0.900552,0.790455,2,3,0,0.428932
-7.78948,1,0.790455,1,1,0,0.410531
-7.73849,1,0.790455,1,1,0,0.395897
-8.69619,0.884124,0.790455,2,3,0,0.541915
-8.63595,1,0.790455,3,7,0,0.165951
-8.74499,0.9886,0.790455,1,1,0,0.158727
-8.837,0.993372,0.790455,3,7,0,0.555408
-8.42459,1,0.790455,1,1,0,0.512855
-8.37918,0.998955,0.790455,3,7,0,0.507507
-8.13747,1,0.790455,1,1,0,0.47571
-7.64853,0.884393,0.790455,2,3,0,0.313943
-7.87415,0.931149,0.790455,2,3,0,0.430279
-7.65503,1,0.790455,2,3,0,0.35862
-7.66459,0.989133,0.790455,2,3,0,0.302573
-7.75682,0.969092,0.790455,2,3,0,0.401499
-8.06765,0.841931,0.790455,2,3,0,0.217093
-8.19699,0.994506,0.790455,2,3,0,0.20263
-8.07322,1,0.790455,1,1,0,0.216417
-9.89522,0.8738,0.790455,3,7,0,0.105255
-8.19593,1,0.790455,2,3,0,0.202739
-8.27855,0.992539,0.790455,3,7,0,0.495023
-7.64344,1,0.790455,2,3,0,0.319459
-7.65056,0.995671,0.790455,2,3,0,0.35497
-7.71881,0.976187,0.790455,3,7,0,0.280342
-7.66078,0.999386,0.790455,3,7,0,0.362661
-7.6606,0.989839,0.790455,2,3,0,0.304949
-7.65172,0.99321,0.790455,2,3,0,0.355974
-7.65504,0.999844,0.790455,3,7,0,0.308667
-8.11008,0.886959,0.790455,2,3,0,0.212076
-7.64816,0.88368,0.790455,3,7,0,0.352742
-7.88887,0.970858,0.790455,3,7,0,0.433335
-7.76516,0.927648,0.790455,3,7,0,0.267431
-7.84527,0.935752,0.790455,2,3,0,0.424001
-7.63831,1,0.790455,2,3,0,0.335586
-7.63846,0.999893,0.790455,2,3,0,0.330085
-7.95515,0.936694,0.790455,2,3,0,0.446124
-8.97061,0.851427,0.790455,2,3,0,0.567427
-7.67989,1,0.790455,2,3,0,0.294862
-7.67989,0.804724,0.790455,2,3,0,0.294862
-7.70659,0.995755,0.790455,1,1,0,0.284391
-7.7603,0.963336,0.790455,2,3,0,0.402515
-7.876,0.978566,0.790455,1,1,0,0.430667
-7.75375,0.937345,0.790455,2,3,0,0.270329
-9.23529,0.876174,0.790455,3,7,0,0.13186
-7.69101,1,0.790455,2,3,0,0.290161
-7.69036,1,0.790455,1,1,0,0.290422
-7.64361,0.993896,0.790455,2,3,0,0.347631
-7.8137,0.982031,0.790455,3,7,0,0.256479
-11.1545,0.69354,0.790455,2,3,0,0.0713141
-7.82063,0.942869,0.790455,2,3,0,0.255062
-7.97813,0.977712,0.790455,1,1,0,0.228794
-7.64698,0.97147,0.790455,2,3,0,0.351557
-7.64698,0.891218,0.790455,3,7,0,0.351557
-7.81621,0.951618,0.790455,2,3,0,0.255963
-9.56084,0.876274,0.790455,3,7,0,0.61361
-9.00435,1,0.790455,2,3,0,0.570355
-8.54898,1,0.790455,1,1,0,0.52673
-7.68034,1,0.790455,3,7,0,0.294657
-7.96879,0.918615,0.790455,2,3,0,0.448589
-7.69017,0.995128,0.790455,2,3,0,0.378089
-7.64778,0.998926,0.790455,3,7,0,0.35237
-7.91972,0.921731,0.790455,2,3,0,0.237477
-7.63819,0.986736,0.790455,2,3,0,0.334242
-9.16822,0.537841,0.790455,2,3,0,0.58402
-9.56273,0.929353,0.790455,1,1,0,0.613743
-10.7127,0.815749,0.790455,1,1,0,0.682836
-8.96333,1,0.790455,1,1,0,0.566791
-8.00096,0.960901,0.790455,2,3,0,0.454212
-7.66478,0.952063,0.790455,2,3,0,0.302466
-8.2628,0.868042,0.790455,2,3,0,0.492982
-8.86313,0.869429,0.790455,2,3,0,0.557815
-8.60274,1,0.790455,1,1,0,0.532417
-7.74656,0.990696,0.790455,2,3,0,0.398421
-7.70255,0.966747,0.790455,2,3,0,0.285813
-7.66371,0.985081,0.790455,2,3,0,0.364528
-7.66091,0.998041,0.790455,2,3,0,0.362748
-7.65174,1,0.790455,1,1,0,0.355993
-9.8295,0.792701,0.790455,2,3,0,0.631783
-9.94559,1,0.790455,3,7,0,0.10354
-10.2014,0.982415,0.790455,1,1,0,0.0953831
-7.76414,0.993914,0.790455,3,7,0,0.403618
-7.76949,0.999668,0.790455,2,3,0,0.405131
-7.82501,0.996556,0.790455,2,3,0,0.41934
-7.72535,0.951623,0.790455,2,3,0,0.27831
-7.63861,1,0.790455,2,3,0,0.329292
-7.80129,0.931263,0.790455,2,3,0,0.41356
-7.72079,0.955279,0.790455,2,3,0,0.279719
-7.68984,1,0.790455,1,1,0,0.29063
-7.71772,0.961829,0.790455,2,3,0,0.28069
-7.73062,0.998605,0.790455,3,7,0,0.276734
-8.07625,0.964227,0.790455,2,3,0,0.216051
-7.66629,1,0.790455,2,3,0,0.301618
-7.6424,0.996079,0.790455,2,3,0,0.34592
-7.67087,0.975509,0.790455,2,3,0,0.368697
-7.66962,0.985176,0.790455,2,3,0,0.299828
-8.2461,0.909681,0.790455,2,3,0,0.19771
-8.06737,1,0.790455,1,1,0,0.217127
-8.26891,0.991551,0.790455,2,3,0,0.195514
-8.29482,0.998957,0.790455,2,3,0,0.193082
-7.66152,0.965755,0.790455,2,3,0,0.304387
-8.14302,0.922513,0.790455,2,3,0,0.208373
-8.75708,0.941321,0.790455,3,7,0,0.15796
-7.68739,0.966579,0.790455,2,3,0,0.291629
-7.71645,0.987515,0.790455,3,7,0,0.281099
-7.75403,0.963019,0.790455,2,3,0,0.400676
-7.7952,0.930064,0.790455,2,3,0,0.260425
-7.64375,1,0.790455,2,3,0,0.319061
-7.63977,0.998898,0.790455,2,3,0,0.34106
-7.68922,0.994476,0.790455,2,3,0,0.377673
-7.68822,1,0.790455,2,3,0,0.377226
-8.18858,0.926515,0.790455,3,7,0,0.203501
-8.2525,0.992115,0.790455,1,1,0,0.197088
-10.5021,0.703639,0.790455,2,3,0,0.0868247
-8.11098,0.964992,0.790455,2,3,0,0.211972
-8.5187,0.983693,0.790455,2,3,0,0.174406
-8.80746,0.959953,0.790455,2,3,0,0.154829
-8.03798,0.994833,0.790455,2,3,0,0.220788
-7.63823,0.982691,0.790455,2,3,0,0.331786
-9.27449,0.849213,0.790455,2,3,0,0.592435
-8.79292,1,0.790455,1,1,0,0.551282
-8.09051,0.997883,0.790455,3,7,0,0.214352
-8.19542,0.995561,0.790455,2,3,0,0.202791
-8.43241,0.964827,0.790455,2,3,0,0.181161
-8.8631,0.954231,0.790455,1,1,0,0.151492
-8.49012,1,0.790455,1,1,0,0.176589
-7.77941,0.944291,0.790455,3,7,0,0.264004
-7.80169,0.99668,0.790455,1,1,0,0.259012
-8.6233,0.819735,0.790455,2,3,0,0.534547
-9.02708,0.925761,0.790455,1,1,0,0.572304
-7.63832,1,0.790455,2,3,0,0.330998
-7.64032,0.999464,0.790455,2,3,0,0.342305
-8.04993,0.903421,0.790455,2,3,0,0.219281
-8.33437,0.964444,0.790455,1,1,0,0.189493
-8.78203,0.950867,0.790455,1,1,0,0.156396
-8.65005,1,0.790455,1,1,0,0.164985
-8.94065,0.970696,0.790455,1,1,0,0.147034
-8.43313,1,0.790455,1,1,0,0.181103
-8.04438,0.989727,0.790455,2,3,0,0.219978
-7.64035,1,0.790455,2,3,0,0.324379
-8.05369,0.916951,0.790455,2,3,0,0.218812
-8.02155,1,0.790455,1,1,0,0.222909
-8.28246,0.988962,0.790455,2,3,0,0.194234
-8.66445,0.956918,0.790455,1,1,0,0.164008
-8.61356,0.977831,0.790455,2,3,0,0.167507
-8.99912,0.961208,0.790455,1,1,0,0.143812
-8.98249,1,0.790455,1,1,0,0.144716
-8.39772,1,0.790455,1,1,0,0.184024
-8.84647,0.951845,0.790455,1,1,0,0.152476
-8.78159,1,0.790455,1,1,0,0.156424
-8.62671,1,0.790455,1,1,0,0.166591
-7.65816,0.966042,0.790455,2,3,0,0.306517
-9.46759,0.806009,0.790455,2,3,0,0.121504
-7.67033,1,0.790455,2,3,0,0.299458
-7.70605,0.998095,0.790455,2,3,0,0.284579
-9.43197,0.823283,0.790455,2,3,0,0.123013
-9.2638,1,0.790455,1,1,0,0.13052
-10.0413,0.974454,0.790455,3,7,0,0.645135
-9.96704,1,0.790455,1,1,0,0.640543
-9.34117,1,0.790455,1,1,0,0.597552
-10.0321,0.881723,0.790455,1,1,0,0.644569
-8.99765,1,0.790455,1,1,0,0.569777
-8.6092,1,0.790455,1,1,0,0.533089
-8.61541,0.998807,0.790455,1,1,0,0.533733
-7.82062,0.979969,0.790455,2,3,0,0.418297
