# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = gauss_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = gauss_1.data.R
# init = 2 (Default)
# random
#   seed = 1305735714
# output
#   file = gauss_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,s,m
# Adaptation terminated
# Step size = 0.626131
# Diagonal elements of inverse mass matrix:
# 0.406347, 0.628885

-4.94989,0.692099,0.626131,2,3,0,2.61764,0.970712
-7.60408,0.905962,0.626131,3,5,0,2.38581,-0.962122
-7.60408,0.749505,0.626131,2,3,0,2.38581,-0.962122
-6.3144,0.987046,0.626131,2,3,0,2.77637,-0.36631
-6.15964,0.997646,0.626131,2,3,0,2.50481,-0.31558
-4.44552,0.933575,0.626131,3,7,0,0.957017,1.62729
-4.55284,0.900403,0.626131,2,3,0,1.90445,1.60893
-4.8952,0.948144,0.626131,3,7,0,2.54345,0.971582
-4.17946,0.984023,0.626131,2,3,0,1.4788,0.947084
-4.60382,0.958157,0.626131,3,7,0,0.799783,0.780127
-4.60382,0.123447,0.626131,1,1,0,0.799783,0.780127
-5.58407,0.725928,0.626131,1,1,0,0.602494,0.683979
-4.79496,1,0.626131,1,1,0,0.661103,0.994989
-4.27897,0.968446,0.626131,2,3,0,0.877514,1.38701
-4.2435,0.832725,0.626131,2,3,0,1.34026,0.77487
-4.49431,0.959105,0.626131,3,7,0,1.68721,0.643458
-4.41845,1,0.626131,3,7,0,0.933468,1.58785
-5.61207,0.955176,0.626131,3,7,0,3.48661,1.56907
-4.9724,0.997773,0.626131,2,3,0,2.53039,0.737126
-4.79009,1,0.626131,1,1,0,2.32732,0.816437
-4.57885,0.89335,0.626131,2,3,0,0.8459,0.730474
-4.86914,0.988281,0.626131,2,3,0,0.630285,1.1159
-4.20806,0.720102,0.626131,3,7,0,0.888995,1.04091
-4.45026,0.961033,0.626131,2,3,0,1.09994,1.71132
-5.53423,0.886417,0.626131,3,5,0,0.557516,0.858808
-5.53423,0.479014,0.626131,2,3,0,0.557516,0.858808
-5.46122,1,0.626131,1,1,0,0.539476,1.02966
-4.74846,1,0.626131,3,7,0,0.656714,1.1991
