# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = betabinomialstr_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = betabinomialstr_3.data.R
# init = 2 (Default)
# random
#   seed = 792387609
# output
#   file = betabinomialstr_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 0.865855
# Diagonal elements of inverse mass matrix:
# 0.384983

-8.08458,0.879127,0.865855,2,3,0,0.467774
-8.19916,0.975563,0.865855,1,1,0,0.484454
-8.40257,0.956935,0.865855,1,1,0,0.510282
-8.50614,0.644737,0.865855,2,3,0,0.175359
-7.68331,0.9268,0.865855,2,3,0,0.374981
-7.818,0.974473,0.865855,2,3,0,0.41767
-7.94955,0.99083,0.865855,2,3,0,0.445098
-8.00122,0.988991,0.865855,1,1,0,0.454256
-7.87684,0.883391,0.865855,3,7,0,0.244556
-8.65016,0.919115,0.865855,2,3,0,0.164977
-7.93085,0.992073,0.865855,3,7,0,0.441603
-8.37883,0.908106,0.865855,1,1,0,0.507465
-7.91201,1,0.865855,1,1,0,0.437969
-7.88882,1,0.865855,3,7,0,0.242508
-8.14631,0.961289,0.865855,1,1,0,0.208012
-7.64007,1,0.865855,2,3,0,0.341762
-7.93407,0.942759,0.865855,2,3,0,0.44221
-8.13382,0.958016,0.865855,1,1,0,0.475176
-7.65685,0.529461,0.865855,3,7,0,0.359962
-7.64919,1,0.865855,2,3,0,0.353727
-7.63927,0.999876,0.865855,2,3,0,0.339747
-7.65226,0.995884,0.865855,2,3,0,0.31076
-7.64978,0.995338,0.865855,2,3,0,0.354276
-8.15303,0.858439,0.865855,2,3,0,0.207279
-7.94672,1,0.865855,1,1,0,0.233341
-7.94577,1,0.865855,1,1,0,0.233483
-8.20855,0.961546,0.865855,1,1,0,0.201447
-7.84649,0.905863,0.865855,2,3,0,0.424274
-7.84649,0.931028,0.865855,1,1,0,0.424274
-7.66081,0.974331,0.865855,2,3,0,0.304822
-7.64879,0.994931,0.865855,2,3,0,0.353355
-7.67439,0.987457,0.865855,2,3,0,0.297427
-8.75975,0.807856,0.865855,2,3,0,0.157791
-8.47619,1,0.865855,2,3,0,0.177672
-7.65022,0.999967,0.865855,3,7,0,0.354668
-8.0231,0.891662,0.865855,2,3,0,0.222707
-7.67053,1,0.865855,2,3,0,0.299358
-7.69722,0.995206,0.865855,1,1,0,0.287767
-7.6945,1,0.865855,3,7,0,0.379947
-7.6759,1,0.865855,1,1,0,0.371358
-7.74923,0.959772,0.865855,2,3,0,0.271524
-7.70314,1,0.865855,1,1,0,0.285604
-7.76202,0.967484,0.865855,2,3,0,0.403012
-7.79469,0.93174,0.865855,2,3,0,0.260537
-7.81607,0.99646,0.865855,1,1,0,0.255991
-7.71511,0.994346,0.865855,2,3,0,0.281533
-7.86588,0.936253,0.865855,2,3,0,0.428521
-8.30024,0.91115,0.865855,1,1,0,0.497795
-8.4991,0.957887,0.865855,1,1,0,0.521292
-8.55948,0.99858,0.865855,3,7,0,0.171377
-8.24465,1,0.865855,1,1,0,0.197851
-8.53749,0.987372,0.865855,2,3,0,0.172998
-7.70596,0.916656,0.865855,2,3,0,0.384558
-7.63817,0.997898,0.865855,2,3,0,0.333181
-7.81415,0.962455,0.865855,2,3,0,0.416741
-7.81787,0.999219,0.865855,1,1,0,0.417638
-8.06501,0.835892,0.865855,2,3,0,0.217416
-7.86537,0.910173,0.865855,2,3,0,0.42841
-7.94995,0.994051,0.865855,2,3,0,0.445171
-8.01854,0.985404,0.865855,1,1,0,0.457182
-8.48617,0.903962,0.865855,1,1,0,0.519856
-7.99045,1,0.865855,1,1,0,0.452402
-7.76674,0.977412,0.865855,2,3,0,0.404358
-8.79764,0.871554,0.865855,3,7,0,0.155431
-7.73427,0.993812,0.865855,3,7,0,0.394538
-7.86547,0.912633,0.865855,2,3,0,0.246557
