# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = gauss_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = gauss_4.data.R
# init = 2 (Default)
# random
#   seed = 1244945203
# output
#   file = gauss_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,s,m
# Adaptation terminated
# Step size = 0.725694
# Diagonal elements of inverse mass matrix:
# 0.381854, 0.463813

-4.12936,0.870054,0.725694,3,7,0,1.24336,0.904548
-4.11102,0.998759,0.725694,2,3,0,0.978081,1.26133
-4.16713,0.933079,0.725694,2,3,0,1.52067,1.04384
-4.44861,0.97246,0.725694,2,3,0,1.95011,1.31579
-5.24396,0.970531,0.725694,2,3,0,2.21859,2.11994
-4.62414,0.99397,0.725694,2,3,0,1.80729,1.7612
-4.1713,0.997022,0.725694,2,3,0,1.45449,0.940816
-4.45679,0.92498,0.725694,2,3,0,1.97551,1.26209
-5.09952,0.9293,0.725694,2,3,0,2.31099,1.95241
-4.63147,0.961033,0.725694,2,3,0,2.21758,1.22947
-4.05485,0.978263,0.725694,2,3,0,1.26043,1.23229
-4.05485,0.892534,0.725694,3,7,0,1.26043,1.23229
-4.67097,0.931008,0.725694,2,3,0,2.27344,1.18925
-4.1126,0.997177,0.725694,2,3,0,1.27085,1.39331
-4.51245,0.912089,0.725694,3,7,0,1.65003,0.606781
-4.70775,0.980318,0.725694,2,3,0,0.796481,1.61436
-4.62051,0.818799,0.725694,2,3,0,0.796779,0.773622
-4.22515,0.974715,0.725694,3,7,0,1.50087,1.45545
-4.22515,0.866539,0.725694,2,3,0,1.50087,1.45545
-4.17387,0.964003,0.725694,2,3,0,0.909359,1.26542
-4.86158,0.693486,0.725694,2,3,0,2.46648,1.44252
-5.15531,0.96221,0.725694,2,3,0,0.626923,0.826861
-5.01491,1,0.725694,1,1,0,0.625022,0.936898
-5.27132,0.929269,0.725694,1,1,0,0.577264,1.3823
-5.27132,0.609561,0.725694,1,1,0,0.577264,1.3823
-4.39652,1,0.725694,2,3,0,1.82014,1.42945
-4.55122,0.933157,0.725694,2,3,0,1.77867,0.633235
-6.81779,0.873702,0.725694,2,3,0,1.47209,-0.458294
-10.0923,0.914635,0.725694,3,7,0,14.8055,-0.780093
-7.89577,0.925271,0.725694,3,5,0,8.22647,0.806509
-6.51365,0.848923,0.725694,2,3,0,4.32418,0.0345941
-7.20645,1,0.725694,2,3,0,4.6623,-0.544768
-7.05795,1,0.725694,2,3,0,4.30085,-0.52889
-7.18512,0.972228,0.725694,1,1,0,5.12506,-0.34508
-4.18179,0.908124,0.725694,3,7,0,1.07621,1.47272
-4.48163,0.982258,0.725694,2,3,0,0.944551,0.691707
-4.25522,1,0.725694,3,7,0,1.64893,1.34344
-4.14024,0.951003,0.725694,2,3,0,0.926992,1.14669
-5.2865,0.817915,0.725694,2,3,0,1.89797,2.22925
-5.54758,0.986491,0.725694,3,7,0,1.81579,2.37741
-6.05304,0.905484,0.725694,1,1,0,1.62704,2.57929
-6.04376,1,0.725694,2,3,0,1.96531,2.61512
-6.04376,0.632761,0.725694,2,3,0,1.96531,2.61512
-6.1956,0.995794,0.725694,3,7,0,1.89285,2.67591
-4.08785,0.61112,0.725694,2,3,0,0.993821,1.19005
-4.29473,0.91109,0.725694,2,3,0,1.70613,1.35627
-4.06606,0.98596,0.725694,2,3,0,1.16033,1.02353
-4.43741,0.917173,0.725694,2,3,0,1.88784,0.914729
-4.63522,0.984629,0.725694,2,3,0,0.714527,0.951763
-4.1577,0.77215,0.725694,2,3,0,1.22177,0.861276
-4.16552,0.997605,0.725694,2,3,0,0.959122,1.35289
-4.16552,0.670495,0.725694,3,5,0,0.959122,1.35289
-4.12261,0.988189,0.725694,2,3,0,0.948772,1.1242
-4.17255,0.692878,0.725694,2,3,0,0.947698,1.34771
-4.06795,1,0.725694,2,3,0,1.09398,1.04283
-4.58138,0.857807,0.725694,2,3,0,2.14854,1.24336
-4.73545,0.988539,0.725694,2,3,0,1.11461,0.449471
-4.85818,0.928944,0.725694,2,3,0,0.715401,1.55893
-4.76374,1,0.725694,2,3,0,0.666768,1.00573
-4.61141,0.854305,0.725694,3,7,0,1.31959,1.85997
-4.34107,0.938016,0.725694,3,7,0,0.79299,1.12308
-4.33941,1,0.725694,2,3,0,0.792417,1.14692
-4.33941,0.433734,0.725694,1,1,0,0.792417,1.14692
-4.33941,0.097952,0.725694,1,1,0,0.792417,1.14692
-4.49812,0.677597,0.725694,2,3,0,1.90597,0.813327
-4.92386,0.948787,0.725694,2,3,0,2.10842,0.439294
-5.05055,0.985813,0.725694,2,3,0,1.59224,0.212312
-6.18257,0.982807,0.725694,2,3,0,3.65947,0.0337177
-5.17865,0.995928,0.725694,2,3,0,2.65848,0.541464
-5.41399,0.950756,0.725694,2,3,0,0.878033,0.322054
-4.34474,1,0.725694,2,3,0,1.10219,1.63574
-5.14956,0.884398,0.725694,3,7,0,2.3082,2.00145
-4.50277,0.932422,0.725694,2,3,0,1.10234,1.74651
-4.55534,0.874148,0.725694,2,3,0,0.733111,0.978984
-5.70314,0.845814,0.725694,2,3,0,0.574786,0.712958
-5.98756,0.95085,0.725694,3,7,0,3.57619,2.12561
-5.66032,1,0.725694,1,1,0,3.00675,2.11563
-6.61138,0.971476,0.725694,2,3,0,3.09607,2.8279
-7.72583,0.84926,0.725694,3,5,0,4.33469,3.35064
-7.50657,0.949306,0.725694,2,3,0,5.38587,2.91898
-6.50552,1,0.725694,2,3,0,3.17033,2.74531
-4.23717,0.904986,0.725694,3,7,0,1.11219,0.787816
-4.90633,0.944542,0.725694,2,3,0,0.792057,1.71379
-4.89137,0.841323,0.725694,2,3,0,1.94666,1.94128
-4.13178,0.964898,0.725694,2,3,0,1.19992,1.43629
-4.12215,0.947469,0.725694,2,3,0,1.12195,0.922182
-4.39028,0.961559,0.725694,2,3,0,1.87865,1.27744
-4.15912,0.998029,0.725694,2,3,0,1.38761,1.4209
-4.71687,0.966696,0.725694,3,7,0,1.7491,1.87104
-4.0552,0.980612,0.725694,2,3,0,1.15494,1.27588
-4.11312,0.978248,0.725694,2,3,0,1.4305,1.0939
-4.11312,0.869959,0.725694,2,3,0,1.4305,1.0939
-4.16196,0.945496,0.725694,2,3,0,1.17811,0.856779
-5.80961,0.597502,0.725694,2,3,0,3.88507,1.01751
-5.60862,0.974071,0.725694,3,7,0,3.58645,1.16428
-6.15327,0.971716,0.725694,1,1,0,4.45794,1.29899
-5.15077,0.997962,0.725694,2,3,0,2.88469,0.937593
-4.67875,0.956806,0.725694,2,3,0,2.07947,1.62679
-4.29562,0.87177,0.725694,3,5,0,1.19637,0.715692
-4.16531,0.923471,0.725694,2,3,0,1.43072,1.40116
-5.04332,0.877305,0.725694,2,3,0,2.63123,1.59659
-4.84474,1,0.725694,1,1,0,2.39592,1.52916
-4.04212,0.974345,0.725694,3,7,0,1.15946,1.12246
-4.7322,0.907499,0.725694,3,7,0,0.840125,0.647346
-5.68522,0.712243,0.725694,1,1,0,0.544688,0.828473
-4.62726,1,0.725694,1,1,0,0.687722,1.1726
-4.06967,0.806974,0.725694,3,7,0,1.09086,1.03999
-4.79687,0.912998,0.725694,2,3,0,1.4198,0.356134
-6.89511,0.675414,0.725694,2,3,0,5.00555,-0.0484091
