# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = betabinomialstr_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = betabinomialstr_4.data.R
# init = 2 (Default)
# random
#   seed = 792387613
# output
#   file = betabinomialstr_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 1.04126
# Diagonal elements of inverse mass matrix:
# 0.416729

-10.0596,0.576094,1.04126,2,3,0,0.646253
-8.2294,1,1.04126,1,1,0,0.488564
-7.941,1,1.04126,2,3,0,0.443512
-8.04012,0.77221,1.04126,2,3,0,0.220516
-9.45589,0.815929,1.04126,2,3,0,0.121997
-8.63107,0.944464,1.04126,2,3,0,0.166288
-8.63107,0.862094,1.04126,1,1,0,0.166288
-7.66672,1,1.04126,2,3,0,0.366344
-7.66672,0.631055,1.04126,2,3,0,0.366344
-7.68344,0.998244,1.04126,2,3,0,0.375043
-7.90889,0.820888,1.04126,2,3,0,0.437355
-7.6382,0.970738,1.04126,2,3,0,0.332267
-7.83364,0.94893,1.04126,2,3,0,0.421353
-8.30042,0.855187,1.04126,1,1,0,0.497818
-8.23157,1,1.04126,1,1,0,0.488855
-7.79808,1,1.04126,1,1,0,0.412747
-7.79808,0.539507,1.04126,2,3,0,0.412747
-7.76731,1,1.04126,1,1,0,0.404518
-8.05358,0.909472,1.04126,1,1,0,0.462905
-8.85549,0.762611,1.04126,1,1,0,0.557115
-8.75314,1,1.04126,1,1,0,0.547483
-8.53234,1,1.04126,1,1,0,0.524934
-8.34255,1,1.04126,1,1,0,0.50307
-7.74982,0.971525,1.04126,2,3,0,0.271366
-7.65329,1,1.04126,2,3,0,0.309961
-7.6382,0.999847,1.04126,2,3,0,0.334316
-7.78387,0.892346,1.04126,2,3,0,0.262971
-8.42535,0.827382,1.04126,2,3,0,0.512942
-8.42535,0.843896,1.04126,1,1,0,0.512942
-8.0689,1,1.04126,1,1,0,0.465334
-9.38637,0.641785,1.04126,1,1,0,0.600954
-12.2356,0.426089,1.04126,1,1,0,0.749794
-9.20691,1,1.04126,2,3,0,0.133213
-7.91421,1,1.04126,2,3,0,0.438398
-7.91421,0.466929,1.04126,2,3,0,0.438398
-8.16656,0.972889,1.04126,2,3,0,0.479897
-8.16656,0.560073,1.04126,1,1,0,0.479897
-8.09926,1,1.04126,2,3,0,0.470022
-8.06495,1,1.04126,1,1,0,0.464711
-8.13681,0.99201,1.04126,2,3,0,0.475613
-8.54502,0.870912,1.04126,1,1,0,0.526304
-10.3878,0.793422,1.04126,2,3,0,0.665388
-8.53032,1,1.04126,1,1,0,0.524715
-8.30338,1,1.04126,1,1,0,0.498192
-7.72632,1,1.04126,1,1,0,0.3919
-8.04733,0.886839,1.04126,2,3,0,0.219606
-7.82922,1,1.04126,1,1,0,0.253348
-7.91879,0.977726,1.04126,1,1,0,0.237624
-8.10321,0.957147,1.04126,1,1,0,0.212868
-7.65061,0.978603,1.04126,2,3,0,0.355018
-7.84041,0.892749,1.04126,2,3,0,0.422903
-7.90866,0.977587,1.04126,1,1,0,0.437309
-7.89974,1,1.04126,1,1,0,0.435536
-7.68431,1,1.04126,1,1,0,0.375448
-8.21609,0.839989,1.04126,2,3,0,0.200684
-8.26309,0.989918,1.04126,1,1,0,0.196069
-8.09506,1,1.04126,1,1,0,0.213817
-7.63834,0.993003,1.04126,2,3,0,0.330828
-7.95955,0.91698,1.04126,2,3,0,0.446924
-8.15698,0.935678,1.04126,1,1,0,0.478531
-7.86754,1,1.04126,2,3,0,0.246188
-7.92118,0.995585,1.04126,2,3,0,0.237248
-9.32673,0.77896,1.04126,2,3,0,0.127634
-7.72182,1,1.04126,2,3,0,0.279398
-7.79242,0.956947,1.04126,2,3,0,0.261039
-7.80658,0.959272,1.04126,2,3,0,0.257968
-8.70425,0.889072,1.04126,2,3,0,0.542713
-7.77389,1,1.04126,2,3,0,0.40635
-8.22114,0.839536,1.04126,2,3,0,0.200176
-8.68795,0.909472,1.04126,1,1,0,0.162436
-10.0962,0.803784,1.04126,2,3,0,0.0986324
-9.52086,1,1.04126,1,1,0,0.119296
-8.25462,0.958602,1.04126,2,3,0,0.196883
-8.57178,0.979091,1.04126,2,3,0,0.170482
-8.1427,1,1.04126,1,1,0,0.208408
-8.98767,0.947473,1.04126,2,3,0,0.144434
-8.69092,0.843858,1.04126,2,3,0,0.541392
-7.89439,1,1.04126,2,3,0,0.241575
-7.96688,0.982427,1.04126,1,1,0,0.230393
-8.19641,0.948335,1.04126,1,1,0,0.20269
-8.50843,0.936921,1.04126,1,1,0,0.175184
-7.87955,1,1.04126,2,3,0,0.244087
-7.63852,0.994261,1.04126,2,3,0,0.329736
-7.68389,0.987976,1.04126,2,3,0,0.375253
-7.65251,0.920726,1.04126,2,3,0,0.310567
-8.04065,0.912298,1.04126,2,3,0,0.22045
-8.36188,0.889041,1.04126,2,3,0,0.505426
-7.79202,1,1.04126,1,1,0,0.411191
-7.6492,1,1.04126,2,3,0,0.35374
-7.68793,0.98344,1.04126,2,3,0,0.291406
-7.63817,0.999701,1.04126,2,3,0,0.333348
-7.71849,0.980628,1.04126,2,3,0,0.280445
-7.81997,0.973264,1.04126,1,1,0,0.255196
-7.67535,1,1.04126,1,1,0,0.296964
-7.75665,0.977736,1.04126,1,1,0,0.26958
-7.66605,1,1.04126,2,3,0,0.30175
-8.63436,0.764252,1.04126,2,3,0,0.535684
-7.82123,1,1.04126,1,1,0,0.418443
-8.02562,0.934182,1.04126,1,1,0,0.458358
-7.63974,0.965751,1.04126,2,3,0,0.325726
-7.66531,0.966621,1.04126,2,3,0,0.302165
-8.25439,0.847443,1.04126,2,3,0,0.49188
-9.51679,0.413863,1.04126,2,3,0,0.119463
-7.7981,1,1.04126,2,3,0,0.259789
-7.87865,0.979597,1.04126,1,1,0,0.244243
-7.70133,1,1.04126,2,3,0,0.382747
-7.77892,0.747413,1.04126,2,3,0,0.264119
-8.60603,0.891293,1.04126,2,3,0,0.53276
-10.0559,0.621102,1.04126,1,1,0,0.646025
-8.14728,1,1.04126,2,3,0,0.207906
-7.97941,1,1.04126,1,1,0,0.228614
-7.79922,1,1.04126,1,1,0,0.259546
-7.8631,0.99458,1.04126,2,3,0,0.24698
-7.87739,0.996415,1.04126,1,1,0,0.24446
-7.6667,0.963616,1.04126,2,3,0,0.366333
-7.6667,0.582652,1.04126,2,3,0,0.366333
-7.8519,0.972251,1.04126,2,3,0,0.425477
-9.38793,0.596708,1.04126,1,1,0,0.60107
-8.55938,0.723305,1.04126,2,3,0,0.171384
-7.64508,0.851949,1.04126,2,3,0,0.349452
-7.64055,0.999095,1.04126,2,3,0,0.32399
-8.2755,0.840786,1.04126,2,3,0,0.494631
-7.74945,1,1.04126,1,1,0,0.399301
-7.65913,1,1.04126,1,1,0,0.361562
-7.6451,0.996485,1.04126,2,3,0,0.317447
-7.6606,0.998454,1.04126,2,3,0,0.362542
-7.81883,0.924777,1.04126,2,3,0,0.255426
-7.64628,0.727425,1.04126,2,3,0,0.316156
-8.12015,0.872138,1.04126,2,3,0,0.473159
-8.19627,0.991527,1.04126,2,3,0,0.484055
-8.8799,0.793754,1.04126,1,1,0,0.559345
-7.93469,1,1.04126,2,3,0,0.442328
-7.99931,0.978573,1.04126,1,1,0,0.453929
-10.342,0.703455,1.04126,2,3,0,0.662811
-10.8375,0.86316,1.04126,1,1,0,0.689188
-7.7374,1,1.04126,2,3,0,0.39555
-7.81846,0.751906,1.04126,2,3,0,0.255502
-7.63849,0.946705,1.04126,2,3,0,0.336776
-7.64094,0.990985,1.04126,2,3,0,0.343505
-7.64114,0.960295,1.04126,2,3,0,0.343867
-7.64425,0.82548,1.04126,2,3,0,0.318448
-7.65728,0.888413,1.04126,2,3,0,0.360271
-7.64015,1,1.04126,2,3,0,0.341926
-7.63896,0.894054,1.04126,2,3,0,0.338743
-7.78341,0.962906,1.04126,2,3,0,0.408929
-7.67756,1,1.04126,2,3,0,0.295925
-7.66864,1,1.04126,1,1,0,0.300346
-7.71268,0.934228,1.04126,2,3,0,0.387087
-7.64717,0.996031,1.04126,2,3,0,0.315252
-7.94767,0.927749,1.04126,2,3,0,0.444752
-7.64308,1,1.04126,2,3,0,0.346913
-7.98067,0.915515,1.04126,2,3,0,0.450695
-7.67032,0.87856,1.04126,2,3,0,0.368393
-7.92955,0.917925,1.04126,2,3,0,0.235944
-8.09906,0.919644,1.04126,2,3,0,0.21335
-7.98146,1,1.04126,1,1,0,0.228327
-8.88236,0.766116,1.04126,2,3,0,0.559569
-8.34924,0.781277,1.04126,2,3,0,0.18818
-7.64582,1,1.04126,2,3,0,0.3503
-8.77983,0.711498,1.04126,2,3,0,0.156533
-9.49798,0.963032,1.04126,2,3,0,0.120237
-7.68559,1,1.04126,2,3,0,0.37604
-9.70501,0.582637,1.04126,2,3,0,0.623547
-8.39732,1,1.04126,1,1,0,0.509663
-7.80821,1,1.04126,1,1,0,0.415286
-7.64826,0.995122,1.04126,2,3,0,0.314197
-8.16859,0.891862,1.04126,2,3,0,0.205605
-8.1956,0.994069,1.04126,1,1,0,0.202773
-8.72984,0.965606,1.04126,2,3,0,0.159698
-8.18226,0.917996,1.04126,2,3,0,0.482108
-7.78117,1,1.04126,2,3,0,0.40833
-8.06592,0.688104,1.04126,2,3,0,0.464865
-7.8184,1,1.04126,1,1,0,0.417767
-7.78299,1,1.04126,1,1,0,0.408816
-8.03268,0.920464,1.04126,1,1,0,0.459521
-8.09586,0.628631,1.04126,2,3,0,0.469505
-8.06822,1,1.04126,1,1,0,0.465227
-8.3124,0.973576,1.04126,2,3,0,0.499328
-11.9533,0.307952,1.04126,1,1,0,0.738906
-8.54478,0.911947,1.04126,2,3,0,0.172457
-9.90837,0.907001,1.04126,2,3,0,0.636848
-7.72568,1,1.04126,2,3,0,0.391683
-8.11629,0.879141,1.04126,1,1,0,0.472584
-9.89924,0.709992,1.04126,2,3,0,0.105116
-7.67751,1,1.04126,2,3,0,0.372174
-7.83569,0.978078,1.04126,2,3,0,0.252083
-7.63857,0.997517,1.04126,2,3,0,0.337199
-7.78078,0.963282,1.04126,2,3,0,0.408225
-7.96841,0.939754,1.04126,1,1,0,0.448521
-8.07639,0.964335,1.04126,1,1,0,0.466505
-7.6626,0.991639,1.04126,2,3,0,0.303736
-7.90209,0.932787,1.04126,2,3,0,0.436007
-7.77639,0.798694,1.04126,2,3,0,0.407036
-8.47377,0.77477,1.04126,2,3,0,0.177861
-7.72208,1,1.04126,2,3,0,0.279317
-7.8337,0.990249,1.04126,2,3,0,0.252469
-8.16194,0.974452,1.04126,2,3,0,0.206317
-7.72541,1,1.04126,2,3,0,0.39159
-7.72541,0.520658,1.04126,2,3,0,0.39159
-8.10379,0.8709,1.04126,2,3,0,0.212801
-8.23345,0.971639,1.04126,1,1,0,0.198951
-9.079,0.847424,1.04126,1,1,0,0.139588
-8.63892,1,1.04126,1,1,0,0.165747
-8.23118,1,1.04126,2,3,0,0.199176
-10.847,0.512949,1.04126,2,3,0,0.689663
