# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = lr_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = lr_4.data.R
# init = 2 (Default)
# random
#   seed = 1170592253
# output
#   file = lr_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta_0,beta_1,beta_2,ys.1,ys.2,ys.3,ys.4
# Adaptation terminated
# Step size = 0.414741
# Diagonal elements of inverse mass matrix:
# 3.3982, 1.20277, 1.18241

-3.11025,0.981837,0.414741,3,5,0,1.41855,-0.229893,0.648938,0.472722,0.576843,0.576843,0.472722
-4.02679,0.840694,0.414741,2,3,0,2.27278,-0.150704,0.666635,0.687575,0.786632,0.786632,0.687575
-3.56876,1,0.414741,2,3,0,2.08807,-0.422742,1.10256,0.368236,0.53495,0.53495,0.368236
-4.3216,0.462023,0.414741,3,7,0,-2.13945,0.236436,-1.75321,0.832494,0.521644,0.521644,0.832494
-4.3216,0.87589,0.414741,1,1,0,-2.13945,0.236436,-1.75321,0.832494,0.521644,0.521644,0.832494
-4.01616,0.978443,0.414741,4,15,0,2.58768,-1.41441,0.354999,0.61379,0.355229,0.355229,0.61379
-4.3097,0.912316,0.414741,3,7,0,-1.24156,1.7981,0.881228,0.230425,0.813577,0.813577,0.230425
-4.92455,0.98598,0.414741,3,7,0,-0.538996,2.05642,1.32413,0.244009,0.904627,0.904627,0.244009
-5.50174,0.933859,0.414741,3,7,0,-1.59515,1.6561,1.55691,0.0450938,0.53995,0.53995,0.0450938
-4.34634,1,0.414741,2,3,0,-0.798088,1.65271,0.211923,0.60606,0.908497,0.908497,0.60606
-4.73411,0.924978,0.414741,3,7,0,-1.54756,0.518028,-1.61029,0.899442,0.750032,0.750032,0.899442
-4.55325,0.992754,0.414741,2,3,0,-1.1792,0.49057,-1.41492,0.894845,0.771511,0.771511,0.894845
-8.17048,0.745553,0.414741,3,7,0,-1.95888,2.49344,2.58026,0.00969923,0.610102,0.610102,0.00969923
-8.0124,1,0.414741,1,1,0,-1.90405,2.72232,2.4971,0.0151285,0.739522,0.739522,0.0151285
-7.57375,1,0.414741,3,7,0,0.586176,2.81711,2.52331,0.162011,0.975804,0.975804,0.162011
-7.36893,0.93502,0.414741,2,3,0,-1.07635,1.83917,2.64172,0.0107651,0.490066,0.490066,0.0107651
-6.17789,0.71771,0.414741,2,3,0,0.447442,2.32044,2.07783,0.199762,0.953046,0.953046,0.199762
-6.62299,0.946968,0.414741,3,7,0,0.743707,2.48234,1.75167,0.431119,0.981233,0.981233,0.431119
-6.62299,0.806701,0.414741,1,1,0,0.743707,2.48234,1.75167,0.431119,0.981233,0.981233,0.431119
-7.49503,0.952021,0.414741,3,7,0,1.16098,2.64628,1.83331,0.535104,0.990246,0.990246,0.535104
-6.05027,1,0.414741,2,3,0,1.24008,2.00285,1.6993,0.461161,0.971982,0.971982,0.461161
-3.89958,0.896433,0.414741,3,7,0,1.53696,0.633019,1.33806,0.376097,0.812286,0.812286,0.376097
-4.99675,0.965716,0.414741,4,11,0,-1.18341,-1.01605,-2.22547,0.904779,0.270906,0.270906,0.904779
-3.22809,0.998007,0.414741,4,15,0,1.29608,-0.965817,0.0510125,0.556812,0.334796,0.334796,0.556812
-3.1557,0.976258,0.414741,4,15,0,-0.902779,-0.354702,-0.755865,0.563222,0.298109,0.298109,0.563222
-3.39175,0.68406,0.414741,3,7,0,0.187056,0.219442,0.924014,0.191308,0.426028,0.426028,0.191308
