# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = beta_4.data.R
# init = 2 (Default)
# random
#   seed = 1169982881
# output
#   file = beta_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 0.978734
# Diagonal elements of inverse mass matrix:
# 0.376005

-7.90326,0.858478,0.978734,2,3,0,0.436239
-7.63888,1,0.978734,2,3,0,0.328227
-7.6433,0.999018,0.978734,2,3,0,0.31965
-7.8409,0.968736,0.978734,2,3,0,0.251084
-7.98968,0.971022,0.978734,1,1,0,0.227186
-7.75653,0.957233,0.978734,2,3,0,0.401413
-7.80209,0.948601,0.978734,2,3,0,0.258926
-7.80209,0.956543,0.978734,1,1,0,0.258926
-7.80209,0.709566,0.978734,2,3,0,0.258926
-7.67848,0.860391,0.978734,2,3,0,0.295499
-7.63847,1,0.978734,2,3,0,0.336696
-7.73717,0.974367,0.978734,2,3,0,0.274841
-7.7074,0.925039,0.978734,2,3,0,0.385108
-7.80201,0.991947,0.978734,2,3,0,0.413741
-7.67236,1,0.978734,2,3,0,0.298426
-8.04562,0.940488,0.978734,2,3,0,0.219822
-7.65721,0.996178,0.978734,2,3,0,0.307153
-7.78546,0.975636,0.978734,2,3,0,0.262608
-7.78546,0.82922,0.978734,2,3,0,0.262608
-7.63883,0.999193,0.978734,2,3,0,0.328394
-7.65772,0.995943,0.978734,2,3,0,0.306808
-7.72465,0.989567,0.978734,2,3,0,0.278526
-7.65727,0.999568,0.978734,2,3,0,0.307109
-8.03459,0.955512,0.978734,2,3,0,0.459833
-8.53525,0.669348,0.978734,2,3,0,0.173165
-8.56228,0.855176,0.978734,2,3,0,0.528153
-8.01223,1,0.978734,1,1,0,0.456124
-7.72491,1,0.978734,2,3,0,0.278445
-7.99655,0.755517,0.978734,2,3,0,0.226244
-8.36936,0.925282,0.978734,2,3,0,0.186432
-7.95864,0.890452,0.978734,3,7,0,0.44676
-8.25705,0.974315,0.978734,2,3,0,0.49223
-8.3491,0.991814,0.978734,2,3,0,0.503871
-8.31803,1,0.978734,3,7,0,0.190959
-8.08374,0.967495,0.978734,2,3,0,0.215155
-8.39179,0.982571,0.978734,2,3,0,0.184522
-8.16442,1,0.978734,1,1,0,0.20605
-7.78492,0.932973,0.978734,3,7,0,0.409331
-7.70882,0.970271,0.978734,2,3,0,0.283625
-7.70882,0.791682,0.978734,2,3,0,0.283625
-7.64038,0.999573,0.978734,2,3,0,0.324335
-7.90188,0.960676,0.978734,2,3,0,0.24034
-8.17958,0.98295,0.978734,2,3,0,0.204442
-7.63817,0.991969,0.978734,2,3,0,0.333055
-7.7061,0.983229,0.978734,2,3,0,0.284563
-8.92233,0.777169,0.978734,2,3,0,0.148068
-7.73299,1,0.978734,2,3,0,0.394121
-8.84154,0.733628,0.978734,2,3,0,0.555829
-8.34578,1,0.978734,1,1,0,0.503466
-8.34578,0.880737,0.978734,1,1,0,0.503466
-8.34578,0.662739,0.978734,2,3,0,0.503466
-8.34083,1,0.978734,1,1,0,0.502858
-7.85684,1,0.978734,3,7,0,0.248112
-8.07841,0.985951,0.978734,2,3,0,0.215791
-7.90285,0.931754,0.978734,2,3,0,0.436158
-7.78247,0.940182,0.978734,2,3,0,0.263293
-8.35658,0.919943,0.978734,2,3,0,0.187539
-7.81087,0.932097,0.978734,2,3,0,0.41594
-7.84683,0.99686,0.978734,2,3,0,0.424349
