# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = lr_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = lr_2.data.R
# init = 2 (Default)
# random
#   seed = 1170592242
# output
#   file = lr_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta_0,beta_1,beta_2,ys.1,ys.2,ys.3,ys.4
# Adaptation terminated
# Step size = 0.445653
# Diagonal elements of inverse mass matrix:
# 2.43864, 1.18419, 1.27553

-3.2146,1,0.445653,2,3,0,1.597,-0.706418,0.504427,0.470466,0.420611,0.420611,0.470466
-3.44572,0.825092,0.445653,4,15,0,-1.25762,1.21127,0.287932,0.349277,0.706196,0.706196,0.349277
-3.51116,0.72207,0.445653,2,3,0,-0.815742,0.653056,0.682763,0.178255,0.452049,0.452049,0.178255
-4.01877,0.96645,0.445653,3,7,0,-0.190045,1.32318,0.340048,0.611361,0.892474,0.892474,0.611361
-3.76494,0.994712,0.445653,2,3,0,-2.0169,0.985891,0.0989638,0.226368,0.464043,0.464043,0.226368
-3.27617,0.886792,0.445653,3,7,0,0.221771,0.281391,-0.237319,0.726671,0.735337,0.735337,0.726671
-3.08564,0.745916,0.445653,2,3,0,-0.496854,0.238678,-0.546243,0.697265,0.628723,0.628723,0.697265
-3.14048,0.991967,0.445653,3,5,0,-0.499382,0.240814,0.398579,0.258127,0.397394,0.397394,0.258127
-2.99093,0.772852,0.445653,2,3,0,-0.694805,-0.201604,-0.369948,0.460952,0.32562,0.32562,0.460952
-5.44937,0.469962,0.445653,2,3,0,-1.48452,-0.155891,0.452265,0.0727672,0.0954733,0.0954733,0.0727672
-6.97187,0.986469,0.445653,3,7,0,0.891281,-1.27963,-2.39819,0.987967,0.674852,0.674852,0.987967
-3.62914,1,0.445653,4,15,0,0.168745,0.488029,-0.276863,0.770388,0.8056,0.8056,0.770388
-3.61762,1,0.445653,2,3,0,-0.618729,0.381,0.719049,0.157649,0.359905,0.359905,0.157649
-3.49925,0.9509,0.445653,4,9,0,1.7721,-1.02724,-0.0709143,0.708206,0.447329,0.447329,0.708206
-3.63537,0.943513,0.445653,3,7,0,1.33601,-0.880116,0.677892,0.289074,0.249345,0.249345,0.289074
-4.25234,0.993542,0.445653,3,7,0,1.06086,0.442178,1.78025,0.1133,0.541147,0.541147,0.1133
-4.21934,1,0.445653,1,1,0,1.3448,0.331077,1.78956,0.129742,0.554135,0.554135,0.129742
-3.836,0.998094,0.445653,4,15,0,-2.48135,1.22136,-0.542792,0.45651,0.623438,0.623438,0.45651
-4.68803,0.957536,0.445653,4,11,0,3.18812,-1.77039,0.515334,0.595576,0.295673,0.295673,0.595576
-3.76095,0.513167,0.445653,2,3,0,2.05498,-1.00703,0.83306,0.350197,0.311708,0.311708,0.350197
