"Sampler","Time_elpased","Min_ESS","Max_ESS","Min_MCSE","Max_MCSE"
"Gibbs(1000,PG(50,1,:y),HMC(1,0.25,6,:phi,:theta))","3369.488756442001","9.478583586482161","1000.0","0.0","7.296538721422795"
"Gibbs(1000,PG(50,1,:y),HMCDA(1,200,0.65,0.75,:phi,:theta))","3664.1108465419998","9.401988476103607","1000.0","0.0","12.374639835346985"
"Gibbs(1000,PG(50,1,:y),NUTS(1,200,0.65,:phi,:theta))","4173.612592741","9.625009356046123","1000.0","0.0","2.7127658631956657"
"PG(50,1000)","7458.013946527001","10.897250301069608","1000.0","0.0","0.29582577455132086"
